relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Amy (La chica detrás del nombre) (2015) [tmdbid-331781]/Amy (La chica detrás del nombre) (2015) - BDRIP 1080p Ing DTS Subs Esp (English Subs) BDrip 1080 x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS Ing)",7680s,9709kbps,23.98,8.68 GB
"Animatrix (2003) [tmdbid-55931]/Animatrix (2003) - (Spanish English Subs) BDRip 1080p x264-AC3 by N01AH01 (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Esp); AC3 5.1 (Eng)",6051s,5009kbps,23.98,3.53 GB
"Apocalypse Now (1979) [tmdbid-28]/Apocalypse Now (1979) - (Spanish English Subs) BDRip 2160p x265 10Bit HDR-AC3 EAC3 (hispashare com).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",11767s,24411kbps,23.98,33.44 GB
"Apóyate en mí (2018) [tmdbid-407890]/Apóyate en mí (2018) - (Spanish English Spanishsub Englishsub) BDRip m720p x264-AC3 (laxa).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",7319s,3457kbps,23.98,2.95 GB
"Aquí y ahora (2013) [tmdbid-157386]/Aquí y ahora (2013) - (Spanish English Subs) HD 1080p x264-AC3 by Phenom (emulesonic com).mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 2.0 (eng)",5704s,2911kbps,23.98,1.93 GB
"Atlantis: El imperio perdido (2001) [tmdbid-10865]/Atlantis: El imperio perdido (2001) - (Catala English Spanish Subs) WEB-DL 1080p x264-EAC3 by LWTL (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Català); EAC3 5.1 (English); EAC3 5.1 (Español)",5742s,7133kbps,23.98,4.77 GB
"Atlantis: El regreso de Milo (2003) [tmdbid-8965]/Atlantis: El regreso de Milo (2003) - (Spanish English Subs) UHD 4K HEVC-AC3.mkv",HEVC,Main,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",4833s,4574kbps,23.98,2.57 GB
"Atraco perfecto (1956) [tmdbid-247]/Atraco perfecto (1956) - (Spanish English Subs) BDRip 1080p x264-AC3 by Marc27 (hispashare com).mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (Castellano AC3); AC3 1.0 (Ingles AC3)",5061s,6884kbps,23.98,4.06 GB
"Atrapados (2016) [tmdbid-237584]/Atrapados (2016) - .mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5590s,6881kbps,23.98,4.48 GB
"Avatar (2009) [tmdbid-19995]/Avatar (2009) - (Vers extendida) (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",10709s,17331kbps,23.98,21.61 GB
"Avatar: El sentido del agua (2022) [tmdbid-76600]/Avatar: El sentido del agua (2022) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AC3 by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",11802s,8346kbps,23.98,11.47 GB
"Avatar: El sentido del agua (2022) [tmdbid-76600]/Avatar: El sentido del agua (2022) - 4K (Spanish English Spanishsub Englishsub) UHD 4K HDR10 HEVC 10b-AC3 by byp58.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); EAC3 5.1 (eng)",11802s,25150kbps,23.98,34.55 GB
"Aviones (2013) [tmdbid-151960]/Aviones (2013) - (Catala Spanish English Subs) BDrip 1080p x264-AC3 by PIZARRIN (totsrucs - filibusteros).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Català); AC3 5.1 (Castellano); AC3 5.1 (English)",5496s,5160kbps,23.98,3.30 GB
"Aviones: Equipo de rescate (2014) [tmdbid-218836]/Aviones: Equipo de rescate (2014) - UHD 4K HEVC AAC Spanish English Subs by Geot para SpaRed.mkv",HEVC,Main,8-bit,SDR,4K,"AAC 5.1 (spa); AAC 5.1 (eng)",5031s,7228kbps,23.98,4.23 GB
"Babygirl (2024) [tmdbid-1097549]/Babygirl (2024) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",6894s,6638kbps,23.98,5.33 GB
