relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"First Cow (2020) [tmdbid-558582]/First Cow (2020) - (Spanish English Subs) HDrip 1080p x265-AC3 by Jonkar (hispashare com).mkv",HEVC,Main,8-bit,SDR,720p,"AC3 2.0 (Stereo); AC3 5.1 (Surround)",7308s,4813kbps,23.98,4.10 GB
"Flow, un mundo que salvar (2024) [tmdbid-823219]/Flow, un mundo que salvar (2024) - Criterion (2160p UHD BluRay x265 10bit r00t).mkv",HEVC,Main 10,10-bit,SDR,4K,"DTS 7.1 (zxx)",5132s,29986kbps,23.98,17.91 GB
"Frankenstein (2025) [tmdbid-1062722]/Frankenstein (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3ATMOS by enjoy (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",9146s,4868kbps,24.00,5.18 GB
"Free Fire (2017) [tmdbid-334521]/Free Fire (2017) - (Spanish English Subs) BDRip 1080p x264-AC3-DTS by Emuliza HDKnY.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); DTS 5.1 (eng)",5423s,17948kbps,23.98,11.33 GB
"Frozen 2 (2019) [tmdbid-330457]/Frozen 2 (2019) - Sonido mejorado (Spanish English Subs) HDRip 1080p x264-AC3 by Papa Noel.mkv",H264,Main,8-bit,SDR,1080p,"AC3 5.1 (Surround); AC3 5.1 (Surround)",6194s,4322kbps,23.98,3.12 GB
"Frozen: El reino del hielo (2013) [tmdbid-109445]/Frozen: El reino del hielo (2013) - (Catala Spanish English Subs) BDrip 1080p x264-AC3 by PIZARRIN (totsrucs - filibusteros).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Català); AC3 5.1 (Castellano); AC3 5.1 (English)",6133s,6651kbps,23.98,4.75 GB
"Funny Games (1997) [tmdbid-10234]/Funny Games (1997) - (Spanish German Subs) BDRip 1080p x264-AC3 by Distress (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 5.1 (ger)",6524s,6835kbps,24.00,5.19 GB
"Furiosa: De la saga Mad Max (2024) [tmdbid-786892]/Furiosa: De la saga Mad Max (2024) - (Spanish English Subs) BDRip 1080p x264-EAC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",8893s,6473kbps,23.98,6.70 GB
"Ghost in the Shell (1995) [tmdbid-9323]/Ghost in the Shell (1995) - (Spanish Japanese Subs) BDrip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano AC3 5.1 @ 384 kbs); AC3 5.1 (Japones AC3 5.1 @ 384 kbs)",4990s,5729kbps,23.98,3.33 GB
"Ginger & Rosa (2012) [tmdbid-121872]/Ginger & Rosa (2012) - en SUB @Elle Fanning.mp4",H264,High,8-bit,SDR,1080p,"AAC 5.1 (und)",5392s,2639kbps,23.98,1.66 GB
"Gladiator II (2024) [tmdbid-558449]/Gladiator II (2024) - (Spanish English Subs) BDRip 1080p x264-EAC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",8871s,6106kbps,23.98,6.31 GB
"Godzilla Minus One (2023) [tmdbid-940721]/Godzilla Minus One (2023) - (Spanish Japanese Subs) BDRip 1080p x265 10Bit-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 7.1 (Japones)",7573s,7556kbps,23.98,6.66 GB
"Godzilla vs. Kong (2021) [tmdbid-399566]/Godzilla vs. Kong (2021) - (Spanish English Subs) Micro4K 2160p HDR x265-EAC3 AAC by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (Español); AAC 5.1 (Ingles)",6789s,6223kbps,23.98,4.92 GB
"Godzilla y Kong: El nuevo imperio (2024) [tmdbid-823464]/Godzilla y Kong: El nuevo imperio (2024) - (Spanish English Subs) WEBRip 1080p x265-EAC3 by JJ.mkv",HEVC,Main 10,10-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6932s,5277kbps,23.98,4.26 GB
"Good Boy (2022) [tmdbid-983507]/Good Boy (2022) - (Spanish Norwegian Subs) WEBRip 1080p x264-AAC by krom-xusman (nocturnia&exploradoresp2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (nor); AC3 5.1 (stream 2)",4586s,5791kbps,25.00,3.09 GB
"Gran Turismo (2023) [tmdbid-980489]/Gran Turismo (2023) - (Spanish English Subs) BDRip 1080p x264-DTS AC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (spa); AC3 5.1 (eng)",8056s,6066kbps,23.98,5.69 GB
"Grease (1978) [tmdbid-621]/Grease (1978) - (Spanish English Subs) HD 720p x264-AC3 by Geot (emulesonic com).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",6629s,2849kbps,23.98,2.20 GB
"Green Room (2016) [tmdbid-313922]/Green Room (2016) - BDrip 2160p x265 10Bit DV HDR DUAL ac3-eac3 (HispaShare).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",5705s,33247kbps,23.98,22.08 GB
"Guardianes de la galaxia (2014) [tmdbid-118340]/Guardianes de la galaxia (2014) - BDrip 2160p x265 10Bit DV HDR DUAL eac3-ac3 (HispaShare).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); AC3 5.1 (Ingles)",7251s,21833kbps,23.98,18.43 GB
"Guardianes de la Galaxia Vol. 2 (2017) [tmdbid-283995]/Guardianes de la Galaxia Vol. 2 (2017) - (Spanish English Subs) BDRip 2160p DV HDR x265-EAC3 DTS by Gambor (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 7.1 (E-AC-3 7.1); DTS 5.1 (DTS 5.1)",8146s,19528kbps,23.98,18.52 GB
"Guardianes de la Galaxia: Volumen 3 (2023) [tmdbid-447365]/Guardianes de la Galaxia: Volumen 3 (2023) - (IMAX) [Esp-Eng] [BluRay 2160p DDP 7 1 DV HDR x265 Esp DTS 5 1] by Gambor (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 7.1 (TrueHD Atmos 7.1); AC3 2.0 (Commentary by Director James Gunn); DTS 5.1 (spa)",9003s,21369kbps,23.98,22.40 GB
"Háblame (2023) [tmdbid-1008042]/Háblame (2023) - (Spanish English Subs) BDRip 1080p x265-AC3 by JJ.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5723s,3244kbps,23.98,2.16 GB
"Han Solo: Una historia de Star Wars (2018) [tmdbid-348350]/Han Solo: Una historia de Star Wars (2018) - - Spanish English Subs - BDRip 2160p x265 10Bit Dolby Vision HDR - AC3 EAC3 [by enjoy] [hispashare org].mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",8087s,20879kbps,23.98,19.66 GB
"Hércules (1997) [tmdbid-11970]/Hércules (1997) - (Spanish English Subs) BDRip 1080p x264-AC3 DTS by AbueIo.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Español Castellano AC3 5.1); DTS 5.1 (Inglés DTS-HD MA 5.1)",5592s,10194kbps,23.98,6.64 GB
"Hereditary (2018) [tmdbid-493922]/Hereditary (2018) - mokesky (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1 640 kb/s); AC3 5.1 (AC3 5.1 640 kb/s)",7661s,5471kbps,24.00,4.88 GB
"Heretic (2024) [tmdbid-1138194]/Heretic (2024) - (Spanish English Subs) Micro4K 2160p HDR10 x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",6670s,6508kbps,23.98,5.05 GB
"Hermano oso (2003) [tmdbid-10009]/Hermano oso (2003) - (H Remaster) (Spanish English Subs) HD 1080p HLG-HDR HEVC 10b-AAC by Geot.mkv",HEVC,Main 10,10-bit,HLG,1080p,"AAC 5.1 (spa); AAC 5.1 (eng)",5108s,2980kbps,23.98,1.77 GB
"Hermano oso 2 (2006) [tmdbid-10010]/Hermano oso 2 (2006) - h264 1080p.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa)",4406s,13587kbps,23.98,6.97 GB
"High Life (2018) [tmdbid-376865]/High Life (2018) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",6783s,6575kbps,23.98,5.19 GB
"Hotel Transilvania (2012) [tmdbid-76492]/Hotel Transilvania (2012) - (Spanish English Subs) WEB-DL 2160p x265 10Bit Dolby Vision HDR-AC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); AC3 5.1 (Ingles)",5491s,14936kbps,23.98,9.55 GB
"Hotel Transilvania 2 (2015) [tmdbid-159824]/Hotel Transilvania 2 (2015) - (Spanish English Subs) WEB-DL 2160p x265 10Bit HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",5357s,18965kbps,23.98,11.83 GB
"Hotel Transilvania 3: Unas vacaciones monstruosas (2018) [tmdbid-400155]/Hotel Transilvania 3: Unas vacaciones monstruosas (2018) - (Spanish English Subs) BDRip 2160p x265 10Bit HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",5843s,19152kbps,23.98,13.03 GB
"Hotel Transilvania: Transformanía (2022) [tmdbid-585083]/Hotel Transilvania: Transformanía (2022) - (Spanish English Subs) WEB-DL 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",5252s,15806kbps,23.98,9.66 GB
"Humano (2024) [tmdbid-914215]/Humano (2024) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (Español); AC3 5.1 (English)",5612s,6644kbps,23.98,4.34 GB
"Ice Road: Venganza (2025) [tmdbid-1119878]/Ice Road: Venganza (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by enjoy (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6888s,6471kbps,24.00,5.19 GB
"In Fabric (2018) [tmdbid-475220]/In Fabric (2018) - (Spanish English) BluRay 720p X264 AC3 5 1 By PctFenix.mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (Castellano AC3 2.0 448 Kbps); AC3 5.1 (Ingles AC3 5.1 448 Kbps)",7123s,3580kbps,24.00,2.97 GB
"Indiana Jones y el dial del destino (2023) [tmdbid-335977]/Indiana Jones y el dial del destino (2023) - (Spanish English Catala Subs) WEBRip 1080p x264-EAC3 AC3 (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng); AC3 5.1 (cat)",9274s,3148kbps,23.98,3.40 GB
"Indiana Jones y el dial del destino (2023) [tmdbid-335977]/Indiana Jones y el dial del destino (2023) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",9269s,28866kbps,23.98,31.15 GB
"Indiana Jones y el reino de la calavera de cristal (2008) [tmdbid-217]/Indiana Jones y el reino de la calavera de cristal (2008) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",7352s,7736kbps,23.98,6.62 GB
"Indiana Jones y el reino de la calavera de cristal (2008) [tmdbid-217]/Indiana Jones y el reino de la calavera de cristal (2008) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7350s,28454kbps,23.98,24.35 GB
"Indiana Jones y el templo maldito (1984) [tmdbid-87]/Indiana Jones y el templo maldito (1984) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",7108s,7757kbps,23.98,6.42 GB
"Indiana Jones y el templo maldito (1984) [tmdbid-87]/Indiana Jones y el templo maldito (1984) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7107s,43826kbps,23.98,36.26 GB
"Indiana Jones y la última cruzada (1989) [tmdbid-89]/Indiana Jones y la última cruzada (1989) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",7613s,7770kbps,23.98,6.89 GB
"Indiana Jones y la última cruzada (1989) [tmdbid-89]/Indiana Jones y la última cruzada (1989) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7612s,42929kbps,23.98,38.04 GB
"Indomable (2012) [tmdbid-62177]/Indomable (2012) - (Spanish Subs) Micro4K 2160p HDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa)",5618s,6782kbps,23.98,4.44 GB
"Instinto básico (1992) [tmdbid-402]/Instinto básico (1992) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (Castellano AC3 2.0 448 kb/s); AC3 5.1 (Inglés AC3 5.1 448 kb/s)",7693s,5224kbps,23.98,4.68 GB
"John Wick 4 (2023) [tmdbid-603692]/John Wick 4 (2023) - (Spanish English Subs) BDRip 1080p x264-DTS AC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (spa); AC3 5.1 (eng)",10158s,5849kbps,23.98,6.92 GB
"Joker: Folie à Deux (2024) [tmdbid-889737]/Joker: Folie à Deux (2024) - (Spanish English Subs) WEBRip 1080p x265 10Bit-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",8278s,4492kbps,23.98,4.33 GB
"Jungla de cristal (1988) [tmdbid-562]/Jungla de cristal (1988) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AC3 by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",8012s,6737kbps,24.00,6.28 GB
"Jurassic Park (Parque Jurásico) (1993) [tmdbid-329]/Jurassic Park (Parque Jurásico) (1993) - (Spanish English Subs) UHD 4K HDR HEVC-AC3 by Geot.mkv",HEVC,Main,8-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",7596s,5177kbps,23.98,4.58 GB
"Jurassic World: El renacer (2025) [tmdbid-1234821]/Jurassic World: El renacer (2025) - (Spanish English Subs) WEBRip 1080p x265-EAC3 EAC3 Dolby Atmos by Jonkar (hispashare org).mkv",HEVC,Main,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",8119s,3450kbps,23.98,3.26 GB
"Krisha (2016) [tmdbid-323929]/Krisha (2016) - Trey Edward Shults by Juggernaut VOSE.mkv",H264,Main,8-bit,SDR,SD,"AAC 5.1 (stream 1)",4896s,1978kbps,23.98,1.13 GB
"La balada de Lefty Brown (2017) [tmdbid-438457]/La balada de Lefty Brown (2017) - [m1080p h264 AC3 5 1 Spa Eng +Sub].mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6704s,5991kbps,23.98,4.68 GB
"La ballena (The Whale) (2022) [tmdbid-785084]/La ballena (The Whale) (2022) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",6999s,5757kbps,24.00,4.69 GB
"La bella durmiente (1959) [tmdbid-10882]/La bella durmiente (1959) - , dobl lat orig) (Spanish) BDrip 720p x264-AC3 by Fronky.mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (spa)",4510s,2193kbps,23.98,1.15 GB
"La bella y la bestia (1991) [tmdbid-10020]/La bella y la bestia (1991) - (Spanish English Subs) Micro4K HDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 2.0 (Stereo); AC3 2.0 (Stereo)",5094s,7685kbps,23.98,4.56 GB
"La bruja (2016) [tmdbid-310131]/La bruja (2016) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",5553s,5927kbps,23.98,3.83 GB
"La Carretera (2009) [tmdbid-20766]/La Carretera (2009) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",6690s,3623kbps,24.00,2.82 GB
"La chaqueta metálica (1987) [tmdbid-600]/La chaqueta metálica (1987) - (Spanish English Subs) BDRip 2160p x265-AC3 EAC3 (hispashare com).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6993s,13713kbps,23.98,11.16 GB
"La ciudad de las estrellas (La La Land) (2016) [tmdbid-313369]/La ciudad de las estrellas (La La Land) (2016) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",7707s,5451kbps,23.98,4.89 GB
"La dama y el vagabundo (2019) [tmdbid-512895]/La dama y el vagabundo (2019) - (Spanish English Subs) BDRip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6666s,5219kbps,23.98,4.05 GB
"La desaparición de Sidney Hall (2018) [tmdbid-353066]/La desaparición de Sidney Hall (2018) - [1080p] [Castellano].mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",7232s,5772kbps,23.98,4.86 GB
"La enviada del mal (2017) [tmdbid-334536]/La enviada del mal (2017) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5667s,6793kbps,24.00,4.48 GB
"La gran evasión (1963) [tmdbid-5925]/La gran evasión (1963) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org) [imdbid-tt0057115].mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",10335s,24061kbps,23.98,28.95 GB
"La guerra de las galaxias (1977) [tmdbid-11]/La guerra de las galaxias (1977) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",7485s,22334kbps,23.98,19.46 GB
"La guerra de las galaxias. Episodio I: La amenaza fantasma (1999) [tmdbid-1893]/La guerra de las galaxias. Episodio I: La amenaza fantasma (1999) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",8172s,19130kbps,23.98,18.20 GB
"La guerra de las galaxias. Episodio II: El ataque de los clones (2002) [tmdbid-1894]/La guerra de las galaxias. Episodio II: El ataque de los clones (2002) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",8550s,14869kbps,23.98,14.80 GB
"La guerra de las galaxias. Episodio III: La venganza de los Sith (2005) [tmdbid-1895]/La guerra de las galaxias. Episodio III: La venganza de los Sith (2005) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",8408s,24408kbps,23.98,23.89 GB
"La habitación (2015) [tmdbid-264644]/La habitación (2015) - (Spanish English Spanishsub Englishsub) BDrip 1080p HEVC 10b-AC3 by mck.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",7058s,2387kbps,23.98,1.96 GB
"La Hija Eterna (2022) [tmdbid-790867]/La Hija Eterna (2022) - (Spanish English Subs) WEB-DL 1080p x264-AAC by moonnight&xusman (nocturniap2p&exploradoresp2p).mkv",H264,High,8-bit,SDR,720p,"AAC 5.1 (Castellano [5.1]); AAC 2.0 (Castellano [2.0]); AAC 5.1 (Inglés [5.1])",5746s,3205kbps,24.00,2.14 GB
"La inspección (2022) [tmdbid-837938]/La inspección (2022) - MicroHD 1080p.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5690s,7642kbps,23.98,5.06 GB
"La Leyenda de Ochi (2025) [tmdbid-896536]/La Leyenda de Ochi (2025) - Web-Dl 1080p 2 0 Dig.mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (Latino 2.0 Digital); AC3 5.1 (English)",5735s,4706kbps,23.98,3.14 GB
"La llegada (2016) [tmdbid-329865]/La llegada (2016) - (Spanish English Subs) BDrip 1080p x264-DTS-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS 5.1); AC3 5.1 (AC3 5.1)",6992s,6136kbps,23.98,4.99 GB
"La muerte del unicornio (2025) [tmdbid-1153714]/La muerte del unicornio (2025) - (Spanish English Subs) BDRip 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AAC 5.1 (stream 1); EAC3 5.1 (stream 2)",6443s,3276kbps,23.98,2.46 GB
"La mujer que camina delante (2018) [tmdbid-396373]/La mujer que camina delante (2018) - (Spanish English Subs) BDRip 1080p x264-AC3 (leyenda).mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (Castellano); AC3 5.1 (Inglés)",6142s,6568kbps,23.98,4.70 GB
"La naranja mecánica (1971) [tmdbid-185]/La naranja mecánica (1971) - (Spanish English Subs) BDRip 2160p x265 10Bit HDR-AC3 AAC (hispashare com).mkv",HEVC,Main 10,10-bit,HDR10,1080p,"AC3 5.1 (Castellano); AAC 5.1 (Ingles)",8196s,15254kbps,23.98,14.56 GB
"La princesa prometida (1987) [tmdbid-2493]/La princesa prometida (1987) - (Spanish English Subs) BDRip 1080p x265-AC3 by lagartish (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 2.0 (spa); AC3 5.1 (eng)",5920s,4776kbps,23.98,3.29 GB
"La señal (2014) [tmdbid-242095]/La señal (2014) - (Spanish English Subs) BDRip 1080p x264-AC3.mkv",H264,Main,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (Inglés DD 5.1)",5838s,5873kbps,23.98,3.99 GB
"La sirenita (1989) [tmdbid-10144]/La sirenita (1989) - (Spanish English Subs) BDRip 2160p HDR10 x265-AC3 by s1d3sh0w (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",4936s,7644kbps,23.98,4.39 GB
"La sirenita (2023) [tmdbid-447277]/La sirenita (2023) - (Spanish English Subs) WEBRip 1080p x264-AC3 (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (Ingles)",8114s,5163kbps,23.98,4.88 GB
"La trampa (2024) [tmdbid-1032823]/La trampa (2024) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1 640 kb/s); AC3 5.1 (DD 5.1 640 kb/s)",6310s,6043kbps,23.98,4.44 GB
"La última gran estrella (2018) [tmdbid-451204]/La última gran estrella (2018) - Burt Reynolds Ariel Winter Clark Duke BDRip x264.mkv",H264,High,8-bit,SDR,SD,"AAC 2.0 (eng)",6223s,842kbps,23.98,0.61 GB
"La última obra (2025) [tmdbid-1202479]/La última obra (2025) - (Spanish English Subs) BDRip 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Surround AC3 5.1); EAC3 5.1 (spa)",6239s,4527kbps,23.98,3.29 GB
"La zona de interés (2023) [tmdbid-467244]/La zona de interés (2023) - - [1080p HD BluRay, AVC, 8 5mbps] [Español, German] [The Zone of Interest - Jonathan Glazer].mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 5.1 (ger)",6284s,8533kbps,23.98,6.24 GB
"Lady Bird (2017) [tmdbid-391713]/Lady Bird (2017) - (Spanish English Subs) BDRip 1080p x264-DTS AC3 by Radarr.mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (spa); AC3 5.1 (spa); AC3 5.1 (eng)",5681s,6982kbps,23.98,4.62 GB
"Laggies (2014) [tmdbid-244264]/Laggies (2014) - (Spanish) BDrip 1080p x264-AAC (exploradoresp2p).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa)",6093s,3214kbps,23.98,2.28 GB
"Lamb (2021) [tmdbid-788929]/Lamb (2021) - (Spanish Icelandic Subs) BDRip 1080p x264-EAC3.mkv",H264,High,8-bit,SDR,1080p,"EAC3 2.0 (spa); EAC3 2.0 (ice)",6374s,5244kbps,24.00,3.89 GB
"Langosta (2015) [tmdbid-254320]/Langosta (2015) - (Spanish English Subs) BDrip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6827s,5472kbps,25.00,4.35 GB
"Las estrellas al mediodía (2022) [tmdbid-603204]/Las estrellas al mediodía (2022) - (Spanish Subs) WEBRip 1080p x264-EAC3 by jato-xusman (nocturniap2p-exploradoresp2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano DD+ 5.1 @ 640 kbps)",8300s,2885kbps,23.98,2.79 GB
